Date,Price
"Mar 25, 2022",174.73
"Mar 24, 2022",174.07
"Mar 23, 2022",170.21
"Mar 22, 2022",168.82
"Mar 21, 2022",165.38
"Mar 18, 2022",163.98
"Mar 17, 2022",160.62
"Mar 16, 2022",159.59
"Mar 15, 2022",155.09
"Mar 14, 2022",150.62
"Mar 11, 2022",154.73
"Mar 10, 2022",158.52
"Mar 09, 2022",162.95
"Mar 08, 2022",157.44
"Mar 07, 2022",159.30
"Mar 04, 2022",163.17
"Mar 03, 2022",166.23
"Mar 02, 2022",166.56
"Mar 01, 2022",163.20
"Feb 28, 2022",165.12
"Feb 25, 2022",164.85
"Feb 24, 2022",162.74
"Feb 23, 2022",160.07
"Feb 22, 2022",164.32
"Feb 18, 2022",167.30
"Feb 17, 2022",168.88
"Feb 16, 2022",172.55
"Feb 15, 2022",172.79
"Feb 14, 2022",168.88
"Feb 11, 2022",168.64
"Feb 10, 2022",172.12
"Feb 09, 2022",176.28
"Feb 08, 2022",174.83
"Feb 07, 2022",171.66
"Feb 04, 2022",172.39
"Feb 03, 2022",172.90
"Feb 02, 2022",175.84
"Feb 01, 2022",174.61
"Jan 31, 2022",174.78
"Jan 28, 2022",170.33
"Jan 27, 2022",159.22
"Jan 26, 2022",159.69
"Jan 25, 2022",159.78
"Jan 24, 2022",161.62
"Jan 21, 2022",162.41
"Jan 20, 2022",164.51
"Jan 19, 2022",166.23
"Jan 18, 2022",169.80
"Jan 14, 2022",173.07
"Jan 13, 2022",172.19
"Jan 12, 2022",175.53
"Jan 11, 2022",175.08
"Jan 10, 2022",172.19
"Jan 07, 2022",172.17
"Jan 06, 2022",172.00
"Jan 05, 2022",174.92
"Jan 04, 2022",179.70
"Jan 03, 2022",182.01
"Dec 31, 2021",177.57
"Dec 30, 2021",178.20
"Dec 29, 2021",179.38
"Dec 28, 2021",179.29
"Dec 27, 2021",180.33
"Dec 23, 2021",176.28
"Dec 22, 2021",175.64
"Dec 21, 2021",172.99
"Dec 20, 2021",169.75
"Dec 17, 2021",171.14
"Dec 16, 2021",172.26
"Dec 15, 2021",179.30
"Dec 14, 2021",174.33
"Dec 13, 2021",175.74
"Dec 10, 2021",179.45
"Dec 09, 2021",174.56
"Dec 08, 2021",175.08
"Dec 07, 2021",171.18
"Dec 06, 2021",165.32
"Dec 03, 2021",161.84
"Dec 02, 2021",163.76
"Dec 01, 2021",164.77
"Nov 30, 2021",165.30
"Nov 29, 2021",160.24
"Nov 26, 2021",156.81
"Nov 24, 2021",161.94
"Nov 23, 2021",161.41
"Nov 22, 2021",161.02
"Nov 19, 2021",160.55
"Nov 18, 2021",157.87
"Nov 17, 2021",153.49
"Nov 16, 2021",151.00
"Nov 15, 2021",150.00
"Nov 12, 2021",149.99
"Nov 11, 2021",147.87
"Nov 10, 2021",147.92
"Nov 09, 2021",150.81
"Nov 08, 2021",150.44
"Nov 05, 2021",151.28
"Nov 04, 2021",150.96
"Nov 03, 2021",151.49
"Nov 02, 2021",150.02
"Nov 01, 2021",148.96
"Oct 29, 2021",149.80
"Oct 28, 2021",152.57
"Oct 27, 2021",148.85
"Oct 26, 2021",149.32
"Oct 25, 2021",148.64
"Oct 22, 2021",148.69
"Oct 21, 2021",149.48
"Oct 20, 2021",149.26
"Oct 19, 2021",148.76
"Oct 18, 2021",146.55
"Oct 15, 2021",144.84
"Oct 14, 2021",143.76
"Oct 13, 2021",140.91
"Oct 12, 2021",141.51
"Oct 11, 2021",142.81
"Oct 08, 2021",142.90
"Oct 07, 2021",143.29
"Oct 06, 2021",142.00
"Oct 05, 2021",141.11
"Oct 04, 2021",139.14
"Oct 01, 2021",142.65
"Sep 30, 2021",141.50
"Sep 29, 2021",142.83
"Sep 28, 2021",141.91
"Sep 27, 2021",145.37
"Sep 24, 2021",146.92
"Sep 23, 2021",146.83
"Sep 22, 2021",145.85
"Sep 21, 2021",143.43
"Sep 20, 2021",142.94
"Sep 17, 2021",146.06
"Sep 16, 2021",148.79
"Sep 15, 2021",149.03
"Sep 14, 2021",148.12
"Sep 13, 2021",149.55
"Sep 10, 2021",148.97
"Sep 09, 2021",154.07
"Sep 08, 2021",155.11
"Sep 07, 2021",156.69
"Sep 03, 2021",154.30
"Sep 02, 2021",153.65
"Sep 01, 2021",152.51
"Aug 31, 2021",151.83
"Aug 30, 2021",153.12
"Aug 27, 2021",148.60
"Aug 26, 2021",147.54
"Aug 25, 2021",148.36
"Aug 24, 2021",149.62
"Aug 23, 2021",149.71
"Aug 20, 2021",148.19
"Aug 19, 2021",146.70
"Aug 18, 2021",146.36
"Aug 17, 2021",150.19
"Aug 16, 2021",151.12
"Aug 13, 2021",149.10
"Aug 12, 2021",148.89
"Aug 11, 2021",145.86
"Aug 10, 2021",145.60
"Aug 09, 2021",146.09
"Aug 06, 2021",146.14
